Algorithm,Optimizer,Learning Rate,Accuracy,Precision,Recall,F1-Score
CNN,Adam,0.01,0.8711,0.8645,0.8663,0.8654
CNN,Adam,0.001,0.8095,0.7634,0.8043,0.7833
CNN,Adam,0.0001,0.8752,0.8526,0.8566,0.8546
CNN,RMSprop,0.01,0.7548,0.729,0.7074,0.7181
CNN,RMSprop,0.001,0.7435,0.7415,0.7359,0.7387
CNN,RMSprop,0.0001,0.7835,0.7494,0.7572,0.7533
CNN,SGD,0.01,0.7479,0.7031,0.7401,0.7211
CNN,SGD,0.001,0.8533,0.8051,0.8419,0.8231
CNN,SGD,0.0001,0.707,0.663,0.7061,0.6839
CNN + Augmentation,Adam,0.01,0.8912,0.8715,0.8588,0.8651
CNN + Augmentation,Adam,0.001,0.8954,0.8618,0.8621,0.8619
CNN + Augmentation,Adam,0.0001,0.8292,0.8271,0.7974,0.812
CNN + Augmentation,RMSprop,0.01,0.9327,0.8838,0.9216,0.9023
CNN + Augmentation,RMSprop,0.001,0.8317,0.825,0.7956,0.81
CNN + Augmentation,RMSprop,0.0001,0.8838,0.8495,0.8395,0.8445
CNN + Augmentation,SGD,0.01,0.8906,0.8437,0.8635,0.8535
CNN + Augmentation,SGD,0.001,0.7808,0.738,0.7806,0.7587
CNN + Augmentation,SGD,0.0001,0.8317,0.8244,0.8043,0.8142
ResNet50,Adam,0.01,0.9408,0.9244,0.9354,0.9299
ResNet50,Adam,0.001,0.8651,0.8466,0.8527,0.8496
ResNet50,Adam,0.0001,0.8769,0.8661,0.8723,0.8692
ResNet50,RMSprop,0.01,0.8531,0.8212,0.8492,0.835
ResNet50,RMSprop,0.001,0.8885,0.8622,0.8771,0.8696
ResNet50,RMSprop,0.0001,0.8225,0.7902,0.7921,0.7912
ResNet50,SGD,0.01,0.8999,0.8512,0.8688,0.8599
ResNet50,SGD,0.001,0.8283,0.7992,0.8253,0.812
ResNet50,SGD,0.0001,0.8617,0.8238,0.8195,0.8216
ResNet50 (Unfroze),Adam,0.01,0.9313,0.9292,0.9189,0.924
ResNet50 (Unfroze),Adam,0.001,0.8588,0.8128,0.8196,0.8162
ResNet50 (Unfroze),Adam,0.0001,0.8586,0.8443,0.8282,0.8361
ResNet50 (Unfroze),RMSprop,0.01,0.9262,0.8981,0.8797,0.8888
ResNet50 (Unfroze),RMSprop,0.001,0.8754,0.8433,0.8327,0.838
ResNet50 (Unfroze),RMSprop,0.0001,0.8622,0.8456,0.8469,0.8463
ResNet50 (Unfroze),SGD,0.01,0.8633,0.8516,0.821,0.836
ResNet50 (Unfroze),SGD,0.001,0.7789,0.7532,0.741,0.7471
ResNet50 (Unfroze),SGD,0.0001,0.8663,0.8201,0.8312,0.8256
VGG16,Adam,0.01,0.833,0.8089,0.8221,0.8154
VGG16,Adam,0.001,0.8046,0.7567,0.7957,0.7757
VGG16,Adam,0.0001,0.8294,0.7887,0.8045,0.7965
VGG16,RMSprop,0.01,0.9069,0.8916,0.8799,0.8857
VGG16,RMSprop,0.001,0.8613,0.8154,0.8265,0.8209
VGG16,RMSprop,0.0001,0.8314,0.8293,0.8261,0.8277
VGG16,SGD,0.01,0.9046,0.8854,0.8881,0.8868
VGG16,SGD,0.001,0.8842,0.8464,0.8796,0.8627
VGG16,SGD,0.0001,0.8655,0.8383,0.8432,0.8407
VGG16 (Unfroze),Adam,0.01,0.8167,0.7716,0.7854,0.7785
VGG16 (Unfroze),Adam,0.001,0.8758,0.8549,0.8372,0.846
VGG16 (Unfroze),Adam,0.0001,0.8527,0.8407,0.8119,0.826
VGG16 (Unfroze),RMSprop,0.01,0.9326,0.8863,0.9266,0.906
VGG16 (Unfroze),RMSprop,0.001,0.8514,0.829,0.8382,0.8335
VGG16 (Unfroze),RMSprop,0.0001,0.7685,0.7579,0.7595,0.7587
VGG16 (Unfroze),SGD,0.01,0.9171,0.9039,0.8692,0.8863
VGG16 (Unfroze),SGD,0.001,0.8133,0.7677,0.8064,0.7866
VGG16 (Unfroze),SGD,0.0001,0.8075,0.7805,0.8072,0.7936
AlexNet,Adam,0.01,0.7866,0.7639,0.7787,0.7713
AlexNet,Adam,0.001,0.7733,0.7504,0.7727,0.7614
AlexNet,Adam,0.0001,0.8134,0.7993,0.7671,0.7829
AlexNet,RMSprop,0.01,0.8168,0.8003,0.796,0.7982
AlexNet,RMSprop,0.001,0.8453,0.8143,0.8105,0.8124
AlexNet,RMSprop,0.0001,0.7179,0.7163,0.7055,0.7109
AlexNet,SGD,0.01,0.7676,0.7565,0.746,0.7513
AlexNet,SGD,0.001,0.7612,0.7228,0.7549,0.7385
AlexNet,SGD,0.0001,0.7345,0.7297,0.7009,0.715
AlexNet (Unfroze),Adam,0.01,0.8929,0.8813,0.845,0.8628
AlexNet (Unfroze),Adam,0.001,0.8114,0.8102,0.7801,0.7949
AlexNet (Unfroze),Adam,0.0001,0.7482,0.714,0.7383,0.726
AlexNet (Unfroze),RMSprop,0.01,0.8732,0.8524,0.8647,0.8585
AlexNet (Unfroze),RMSprop,0.001,0.8507,0.821,0.8372,0.829
AlexNet (Unfroze),RMSprop,0.0001,0.8456,0.8209,0.8112,0.816
AlexNet (Unfroze),SGD,0.01,0.8148,0.7857,0.8114,0.7983
AlexNet (Unfroze),SGD,0.001,0.8059,0.7808,0.7804,0.7806
AlexNet (Unfroze),SGD,0.0001,0.7631,0.7436,0.7327,0.7381
